property_name,prop_emb,Gaussian_expansion,epoch,mae
alpha,sum,No,epoch1845,1.312
alpha,sum,No,epoch1846,1.327
alpha,concatenate_multiply,No,epoch1866,1.346
alpha,concatenate_multiply,Yes,epoch1693,1.363
alpha,concatenate_multiply,No,epoch1940,1.379
alpha,sum,Yes,epoch1569,1.39
alpha,concatenate_multiply,No,epoch1922,1.393
alpha,multiply,No,epoch1799,1.416
alpha,sum,Yes,epoch1202,1.424
alpha,concatenate_sum,No,epoch1576,1.428
alpha,concatenate_sum,No,epoch1627,1.43
alpha,concatenate_multiply,Yes,epoch1999,1.433
alpha,multiply,Yes,epoch1599,1.441
alpha,concatenate_sum,Yes,epoch1554,1.45
alpha,concatenate,Yes,epoch1950,1.45
alpha,multiply,No,epoch1919,1.456
alpha,sum,Yes,epoch1723,1.456
alpha,multiply,Yes,epoch704,1.457
alpha,concatenate_sum,No,epoch1758,1.468
alpha,concatenate_sum,No,epoch942,1.471
alpha,concatenate,Yes,epoch1844,1.479
alpha,concatenate,Yes,epoch893,1.492
alpha,concatenate,No,epoch1573,1.499
alpha,multiply,Yes,epoch1725,1.502
alpha,sum,Yes,epoch575,1.503
alpha,concatenate_multiply,No,epoch974,1.504
alpha,concatenate,No,epoch1128,1.513
alpha,sum,Yes,epoch806,1.523
alpha,concatenate_multiply,Yes,epoch1416,1.533
alpha,concatenate_sum,Yes,epoch1112,1.533
alpha,multiply,No,epoch780,1.535
alpha,multiply,No,epoch1582,1.548
alpha,multiply,Yes,epoch939,1.55
alpha,concatenate_multiply,No,epoch938,1.559
alpha,concatenate_sum,Yes,epoch673,1.564
alpha,multiply,No,epoch733,1.567
alpha,sum,No,epoch473,1.568
alpha,concatenate,No,epoch761,1.568
alpha,multiply,Yes,epoch893,1.569
alpha,concatenate,No,epoch991,1.571
alpha,concatenate,No,epoch992,1.574
alpha,concatenate,Yes,epoch993,1.576
alpha,concatenate_multiply,Yes,epoch489,1.576
alpha,concatenate_multiply,Yes,epoch788,1.577
alpha,concatenate_sum,No,epoch640,1.58
alpha,multiply,No,epoch894,1.583
alpha,concatenate,Yes,epoch1373,1.584
alpha,concatenate_sum,Yes,epoch939,1.593
alpha,concatenate_multiply,No,epoch824,1.595
alpha,concatenate_multiply,Yes,epoch913,1.602
alpha,concatenate,Yes,epoch868,1.612
alpha,sum,No,epoch839,1.636
