property_name,prop_emb,Gaussian_expansion,epoch,mae
alpha,sum,No,epoch1845,1.844
alpha,sum,No,epoch1846,1.923
alpha,concatenate,Yes,epoch1950,2.033
alpha,multiply,Yes,epoch704,2.058
alpha,sum,Yes,epoch575,2.068
alpha,sum,Yes,epoch1569,2.076
alpha,multiply,Yes,epoch939,2.103
alpha,concatenate_multiply,No,epoch974,2.131
alpha,concatenate_multiply,Yes,epoch1693,2.133
alpha,multiply,Yes,epoch1599,2.144
alpha,multiply,No,epoch1799,2.151
alpha,concatenate,No,epoch1128,2.152
alpha,concatenate,No,epoch992,2.167
alpha,sum,Yes,epoch1202,2.174
alpha,concatenate,Yes,epoch893,2.178
alpha,multiply,No,epoch894,2.178
alpha,concatenate_multiply,No,epoch1922,2.193
alpha,concatenate_sum,Yes,epoch1554,2.205
alpha,sum,No,epoch818,2.21
alpha,multiply,No,epoch1919,2.226
alpha,concatenate_multiply,No,epoch1866,2.267
alpha,concatenate,No,epoch761,2.267
alpha,concatenate_multiply,Yes,epoch788,2.311
alpha,concatenate_sum,Yes,epoch457,2.34
alpha,concatenate,Yes,epoch1373,2.357
alpha,concatenate_sum,No,epoch942,2.371
alpha,concatenate_sum,Yes,epoch1112,2.391
alpha,concatenate_sum,No,epoch640,2.394
alpha,concatenate_multiply,Yes,epoch489,2.406
alpha,concatenate_sum,No,epoch1758,2.44
cv,sum,No,epoch1735,0.693
cv,concatenate,Yes,epoch1806,0.715
cv,sum,No,epoch1917,0.719
cv,concatenate_sum,Yes,epoch1848,0.73
cv,concatenate_sum,No,epoch1593,0.732
cv,concatenate,No,epoch1933,0.766
cv,sum,Yes,epoch1680,0.774
cv,concatenate_multiply,No,epoch944,0.777
cv,concatenate_sum,Yes,epoch578,0.78
cv,concatenate_sum,Yes,epoch1832,0.783
cv,multiply,No,epoch1594,0.788
cv,concatenate,No,epoch1955,0.796
cv,multiply,No,epoch1947,0.815
cv,sum,Yes,epoch1400,0.821
cv,concatenate_multiply,No,epoch1334,0.823
cv,concatenate_multiply,No,epoch858,0.826
cv,sum,No,epoch1494,0.826
cv,sum,Yes,epoch950,0.836
cv,multiply,Yes,epoch976,0.838
cv,concatenate,No,epoch992,0.839
cv,multiply,No,epoch856,0.843
cv,concatenate,Yes,epoch1809,0.845
cv,concatenate_sum,No,epoch891,0.847
cv,multiply,Yes,epoch779,0.848
cv,multiply,Yes,epoch882,0.849
cv,concatenate_multiply,Yes,epoch1941,0.859
cv,concatenate_multiply,Yes,epoch755,0.865
cv,concatenate_sum,No,epoch1640,0.887
cv,concatenate,Yes,epoch707,0.9
cv,concatenate_multiply,Yes,epoch1089,0.906
gap,concatenate,No,epoch1637,437.167
gap,concatenate_sum,No,epoch1867,448.784
gap,concatenate_multiply,No,epoch1994,449.59
gap,concatenate,No,epoch1605,453.075
gap,multiply,Yes,epoch1298,454.138
gap,multiply,Yes,epoch936,463.625
gap,concatenate,Yes,epoch1242,472.529
gap,concatenate_multiply,Yes,epoch1397,475.306
gap,concatenate_multiply,Yes,epoch1950,475.9
gap,concatenate,No,epoch1284,478.035
gap,concatenate_multiply,No,epoch1832,479.057
gap,multiply,No,epoch1393,487.79
gap,multiply,No,epoch1817,491.707
gap,concatenate_sum,No,epoch1820,491.913
gap,concatenate_sum,Yes,epoch799,497.178
gap,concatenate_sum,Yes,epoch1708,497.985
gap,concatenate_multiply,Yes,epoch828,502.426
gap,sum,Yes,epoch440,505.713
gap,sum,No,epoch1731,510.564
gap,concatenate_sum,No,epoch1365,511.683
gap,concatenate,Yes,epoch1575,512.55
gap,concatenate,Yes,epoch1466,512.622
gap,concatenate_sum,Yes,epoch1697,517.737
gap,sum,No,epoch703,517.924
gap,concatenate_multiply,No,epoch781,519.936
gap,multiply,No,epoch973,522.491
gap,multiply,Yes,epoch1424,522.775
gap,sum,No,epoch704,527.325
gap,sum,Yes,epoch977,551.346
gap,sum,Yes,epoch1110,580.225
homo,concatenate_sum,No,epoch1468,238.009
homo,concatenate,No,epoch1927,245.326
homo,concatenate,Yes,epoch1815,248.41
